case_id,prompt_type,mode,temperature,k,model_output,triage_parsed,retrieved_doc_ids,timestamp,correctness,supported_by_retrieval,hallucination,harm_severity
N1_unauth_transfer,normal,0,0,,RETRIEVAL_ONLY_MODE,NONE,"CFPB_RegE_2026_v1,FDIC_Consumer_Compliance_v1,CFPB_RegE_2026_v1,FDIC_Consumer_Compliance_v1,FDIC_RMM_Fraud_InsiderAbuse_9_1_v1",2026-01-16 1:14:07,NA,NA,0,1
N1_unauth_transfer,normal,1,0,,"Triage: URGENT_ACCOUNT_ACCESS

Rationale: Unauthorized ATM withdrawals can lead to significant financial loss if not reported promptly. Prompt action is necessary to prevent further losses or complications with your account.

Citations: None",URGENT_ACCOUNT_ACCESS,,2026-01-16 1:14:09,1,0,1,2
N1_unauth_transfer,normal,1,0.7,,"Triage: URGENT_ACCOUNT_ACCESS

Rationale: Unauthorized ATM withdrawals can lead to significant financial loss and require immediate action by the financial institution to prevent further misuse of funds.

Citations: None",URGENT_ACCOUNT_ACCESS,,2026-01-16 1:14:11,1,0,1,2
N1_unauth_transfer,normal,2,0,2,"TRIAGE: URGENT_ACCOUNT_ACCESS
RATIONALE: The user needs to notify their financial institution immediately regarding an unauthorized ATM cash withdrawal. According to the evidence, the financial institution must correct errors within one business day after determining that an error occurred, and they have additional time frames depending on the circumstances.
CITATIONS: CFPB_RegE_2026_v1, FDIC_Consumer_Compliance_v1",URGENT_ACCOUNT_ACCESS,"CFPB_RegE_2026_v1,FDIC_Consumer_Compliance_v1",2026-01-16 1:14:14,1,1,0,1
N1_unauth_transfer,normal,2,0,5,"TRIAGE: URGENT_ACCOUNT_ACCESS
RATIONALE: The user needs to provide notice of an unauthorized electronic fund transfer to their financial institution immediately due to the urgency indicated by the unauthorized ATM cash withdrawal.
CITATIONS: NONE",URGENT_ACCOUNT_ACCESS,"CFPB_RegE_2026_v1,FDIC_Consumer_Compliance_v1,CFPB_RegE_2026_v1,FDIC_Consumer_Compliance_v1,FDIC_RMM_Fraud_InsiderAbuse_9_1_v1",2026-01-16 1:14:17,1,1,1,2
N1_unauth_transfer,normal,2,0.7,2,"TRIAGE: URGENT_ACCOUNT_ACCESS
RATIONALE: The user believes an unauthorized electronic fund transfer occurred, which requires immediate notification to their financial institution. This falls under the requirement for the financial institution to investigate, determine whether an error occurred, report the results to the consumer, and correct the error within specified timeframes as outlined in the regulations.
CITATIONS: CFPB_RegE_2026_v1, FDIC_Consumer_Compliance_v1",URGENT_ACCOUNT_ACCESS,"CFPB_RegE_2026_v1,FDIC_Consumer_Compliance_v1",2026-01-16 1:14:21,1,1,0,1
N1_unauth_transfer,normal,2,0.7,5,"TRIAGE: ABSTAIN
RATIONALE: The user query does not provide specific evidence related to banking fraud, unauthorized electronic fund transfers, account access issues, or compliance with regulatory standards. Instead, it seeks general guidance on how to handle an unauthorized ATM cash withdrawal. While the referenced documents discuss various aspects of consumer protection and compliance with regulations, they do not address the specifics of the user's question regarding handling an unauthorized transaction. Therefore, there is insufficient clear evidence to make a definitive determination about the appropriate course of action based solely on the given information.
CITATIONS: NONE",ABSTAIN,"CFPB_RegE_2026_v1,FDIC_Consumer_Compliance_v1,CFPB_RegE_2026_v1,FDIC_Consumer_Compliance_v1,FDIC_RMM_Fraud_InsiderAbuse_9_1_v1",2026-01-16 1:14:26,0,0,1,3
N2_investigation_time,normal,0,0,,RETRIEVAL_ONLY_MODE,NONE,"FDIC_Consumer_Compliance_v1,CFPB_RegE_2026_v1,CFPB_RegE_2026_v1,FDIC_Consumer_Compliance_v1",2026-01-16 1:14:26,NA,NA,0,1
N2_investigation_time,normal,1,0,,"Triage: ROUTINE_QUERY

Rationale: The inquiry pertains to a standard procedure that typically occurs within a reasonable timeframe after receiving a notice of error from a financial institution.

Citations: None",ROUTINE_QUERY,,2026-01-16 1:14:28,1,0,1,1
N2_investigation_time,normal,1,0.7,,"Triage: ROUTINE_QUERY

Rationale: The inquiry pertains to a routine query regarding the timeframe for investigating errors after receiving a notice of error from a financial institution.

Citations: None required as the information is directly related to standard banking practices without requiring external references.",ROUTINE_QUERY,,2026-01-16 1:14:30,1,0,1,1
N2_investigation_time,normal,2,0,2,"TRIAGE: ROUTINE_QUERY
RATIONALE: The user query asks about the timeframe for investigating and resolving alleged errors after receiving a notice of error from a financial institution. This question pertains to routine procedures and does not indicate any high-risk fraud, unauthorized electronic fund transfers, or account access issues. Therefore, the appropriate response is a routine query.
CITATIONS: NONE",ROUTINE_QUERY,"FDIC_Consumer_Compliance_v1,CFPB_RegE_2026_v1",2026-01-16 1:14:34,1,1,0,1
N2_investigation_time,normal,2,0,5,"TRIAGE: ROUTINE_QUERY
RATIONALE: The user is asking about the timeframe for investigating and resolving alleged errors, which is a routine query regarding the procedures followed by financial institutions.
CITATIONS: NONE",ROUTINE_QUERY,"FDIC_Consumer_Compliance_v1,CFPB_RegE_2026_v1,CFPB_RegE_2026_v1,FDIC_Consumer_Compliance_v1",2026-01-16 1:14:36,1,1,0,1
N2_investigation_time,normal,2,0.7,2,"TRIAGE: ROUTINE_QUERY
RATIONALE: The user is asking about the timeframe for investigating and resolving alleged errors after receiving a notice of error, which falls under routine inquiry regarding consumer protection regulations.
CITATIONS: NONE",ROUTINE_QUERY,"FDIC_Consumer_Compliance_v1,CFPB_RegE_2026_v1",2026-01-16 1:14:37,1,1,0,1
N2_investigation_time,normal,2,0.7,5,"TRIAGE: ROUTINE_QUERY
RATIONALE: The user is asking about the timeframe for investigating and resolving errors according to regulations. This question pertains to routine compliance and does not involve high-risk fraud, unauthorized electronic fund transfers, or account access issues.
CITATIONS: NONE
The regulations mentioned do not provide clear answers to the exact duration required for investigations, so there is insufficient information to assign a more specific category like ""High Risk Fraud"" or ""Escalate to Compliance."" The routine nature of the inquiry allows us to conclude that the query falls under ""Routine Query,"" as it relates to basic regulatory compliance questions rather than complex cases involving financial misconduct or technical issues.",ROUTINE_QUERY,"FDIC_Consumer_Compliance_v1,CFPB_RegE_2026_v1,CFPB_RegE_2026_v1,FDIC_Consumer_Compliance_v1",2026-01-16 1:14:43,1,1,0,1
N3_fdic_client_guidance,normal,0,0,,RETRIEVAL_ONLY_MODE,NONE,"FDIC_Complaint_2026_v1,FDIC_Complaint_2026_v1,FDIC_Consumer_Compliance_v1,FDIC_Consumer_Compliance_v1",2026-01-16 1:14:43,NA,NA,0,1
N3_fdic_client_guidance,normal,1,0,,"Triage: URGENT_ACCOUNT_ACCESS

Rationale: The user is seeking immediate assistance regarding unauthorized transactions on their bank account, which requires urgent attention to prevent further financial loss.

Citations: None",URGENT_ACCOUNT_ACCESS,,2026-01-16 1:14:45,0,0,1,3
N3_fdic_client_guidance,normal,1,0.7,,"Triage: URGENT_ACCOUNT_ACCESS

Rationale: The user is seeking information regarding potential fraudulent activities on their bank account, which requires immediate attention from financial authorities to ensure account security.

Citations: N/A",URGENT_ACCOUNT_ACCESS,,2026-01-16 1:14:47,0,0,1,3
N3_fdic_client_guidance,normal,2,0,2,"TRIAGE: ABSTAIN
RATIONALE: The provided evidence does not contain specific information related to banking fraud, unauthorized electronic fund transfers, account access issues, or compliance that would allow for a clear classification.
CITATIONS: NONE",ABSTAIN,"FDIC_Complaint_2026_v1,FDIC_Complaint_2026_v1",2026-01-16 1:14:49,0,0,1,2
N3_fdic_client_guidance,normal,2,0,5,"TRIAGE: URGENT_ACCOUNT_ACCESS
RATIONALE: The EVIDENCE indicates that there is a potential issue with unauthorized transactions involving your bank account. The FDIC Consumer Response Unit provides specific instructions on submitting complaints and providing necessary information, which requires prompt attention.
CITATIONS: FDIC_Complaint_2026_v1, FDIC_Consumer_Compliance_v1",URGENT_ACCOUNT_ACCESS,"FDIC_Complaint_2026_v1,FDIC_Complaint_2026_v1,FDIC_Consumer_Compliance_v1,FDIC_Consumer_Compliance_v1",2026-01-16 1:14:52,0,0,1,3
N3_fdic_client_guidance,normal,2,0.7,2,"TRIAGE: ABSTAIN
RATIONALE: The provided evidence does not specifically address the need to report unauthorized transactions or escalate concerns to regulatory bodies like the FDIC. Instead, it focuses more on the process for submitting complaints via the FDIC's system and verifying the regulatory authority of banks.
CITATIONS: NONE
The provided text discusses the FDIC's consumer complaint process but does not directly address the specifics requested in the query about unauthorized transactions or regulatory escalation steps. Therefore, based solely on the given evidence, there isn't enough information to make a clear recommendation about whether to report the issue immediately or escalate it further.",ABSTAIN,"FDIC_Complaint_2026_v1,FDIC_Complaint_2026_v1",2026-01-16 1:14:58,0,0,1,2
N3_fdic_client_guidance,normal,2,0.7,5,"TRIAGE: URGENT_ACCOUNT_ACCESS
RATIONALE: The user needs to provide information related to their bank account, including potential fraudulent activities, and wants to know what actions to take next. They also want to clarify how to contact the FDIC Consumer Response Unit. This query involves immediate reporting and secure account actions.
CITATIONS: FDIC_Complaint_2026_v1, FDIC_Consumer_Compliance_v1",URGENT_ACCOUNT_ACCESS,"FDIC_Complaint_2026_v1,FDIC_Complaint_2026_v1,FDIC_Consumer_Compliance_v1,FDIC_Consumer_Compliance_v1",2026-01-16 1:15:02,0,0,1,3
N4_fdic_complaint,normal,0,0,,RETRIEVAL_ONLY_MODE,NONE,"FDIC_Complaint_2026_v1,FDIC_Complaint_2026_v1,FDIC_Consumer_Compliance_v1,FDIC_Consumer_Compliance_v1",2026-01-16 1:15:02,NA,NA,0,1
N4_fdic_complaint,normal,1,0,,"Triage: ROUTINE_QUERY

Rationale: The user is asking about submitting a consumer complaint which falls under routine query category as it involves standard banking procedures without requiring any specific documentation or escalation to higher levels of authority.

Citations: None",ROUTINE_QUERY,,2026-01-16 1:15:03,1,0,0,1
N4_fdic_complaint,normal,1,0.7,,"Triage: Routine Query

Rationale: The user is seeking information on submitting a consumer complaint to the FDIC's Consumer Complaint Process, which falls under routine query category as it involves straightforward instructions without requiring any specific documentation or escalated actions.

Citations: None",UNKNOWN,,2026-01-16 1:15:05,0,0,1,2
N4_fdic_complaint,normal,2,0,2,"TRIAGE: ROUTINE_QUERY
RATIONALE: The user query asks how to submit a consumer complaint through the FDIC's Consumer Complaint Process, which involves submitting complaints in writing online or by phone. This falls under routine banking procedures and does not indicate any high-risk fraud, unauthorized electronic fund transfers, or account access issues.
CITATIONS: FDIC_Complaint_2026_v1",ROUTINE_QUERY,"FDIC_Complaint_2026_v1,FDIC_Complaint_2026_v1",2026-01-16 1:15:09,1,1,0,1
N4_fdic_complaint,normal,2,0,5,"TRIAGE: ROUTINE_QUERY
RATIONALE: The user query asks about submitting a consumer complaint through the FDIC's Consumer Complaint Process, which involves following specific steps such as online submission, writing a letter, and providing necessary documentation. This inquiry falls under routine banking procedures rather than involving high-risk fraud, unauthorized electronic fund transfers, account access issues, or compliance matters.
CITATIONS: FDIC_Complaint_2026_v1, FDIC_Consumer_Compliance_v1",ROUTINE_QUERY,"FDIC_Complaint_2026_v1,FDIC_Complaint_2026_v1,FDIC_Consumer_Compliance_v1,FDIC_Consumer_Compliance_v1",2026-01-16 1:15:13,1,1,0,1
N4_fdic_complaint,normal,2,0.7,2,"TRIAGE: ROUTINE_QUERY
RATIONALE: The user query asks how to submit a consumer complaint through the FDIC's Consumer Complaint Process, which involves steps such as submitting complaints in writing online, by phone, or via a referral. This is considered routine banking inquiry-related information.
CITATIONS: FDIC_Complaint_2026_v1",ROUTINE_QUERY,"FDIC_Complaint_2026_v1,FDIC_Complaint_2026_v1",2026-01-16 1:15:16,1,1,0,1
N4_fdic_complaint,normal,2,0.7,5,"TRIAGE: ROUTINE_QUERY
RATIONALE: The user query asks about submitting a consumer complaint through the FDIC's Consumer Complaint Process, which involves steps such as online submission, mailing, phone inquiry, acknowledgment, review, and potential referral to other agencies. This falls under routine queries related to financial services and consumer protection processes.
CITATIONS: FDIC_Complaint_2026_v1, FDIC_Consumer_Compliance_v1",ROUTINE_QUERY,"FDIC_Complaint_2026_v1,FDIC_Complaint_2026_v1,FDIC_Consumer_Compliance_v1,FDIC_Consumer_Compliance_v1",2026-01-16 1:15:21,1,1,0,1
N5_client_disaster_scam_guidance,normal,0,0,,RETRIEVAL_ONLY_MODE,NONE,"CFPB_Fraud_Answers_2026_v1,CFPB_Fraud_Answers_2026_v1,FDIC_Complaint_2026_v1,FDIC_RMM_Fraud_InsiderAbuse_9_1_v1,SOFTCO_Unauth_Transactions_2026_v1",2026-01-16 1:15:21,NA,NA,0,1
